Dansk navn ,Botanisk navn,Vært,Jord,Stoerrelse,Antal pr. m2,Farve,kendetegn,blomstring 
Korn-valmue,Papaver rhoeas,"Humlebier, Enlige bier",,,,,,
Kornblomst,Centaurea cyanus,"Humlebier, Enlige bier",,,,,,
Krat-fladbælg,Lathyrus linifolius,"Humlebier, Enlige bier",,,,,,
Krat-viol,Viola riviniana,"Humlebier, Enlige bier, Dagsommerfugle",,,,,,
Krybende læbeløs,Ajuga reptans,"Humlebier, Enlige bier",,,,,,
Kær-galtetand,Stachys palustris,"Humlebier, Enlige bier, Dagsommerfugle, Svirrefluer",,,,,,
Kær-tidsel,Cirsium palustre,"Humlebier, Enlige bier, Dagsommerfugle, Svirrefluer, Fugle, Andre arter",,,,,,
Lancet-vejbred,Plantago lanceolata,"Humlebier, Enlige bier, Dagsommerfugle, Svirrefluer",,,,,,
Lav ranunkel,Ranunculus repens,"Enlige bier, Andre arter",,,,,,
Liden burre,Arctium minus,"Humlebier, Enlige bier",,,,,,
Lucerne,Medicago sativa,"Humlebier, Enlige bier, Dagsommerfugle",,,,,,
Lugtløs kamille,Tripleurospermum inodorum,"Enlige bier, Dagsommerfugle, Andre arter",,,,,,
Læge-baldrian,Valeriana officinalis,"Humlebier, Enlige bier, Dagsommerfugle, Svirrefluer",,,,,,
Læge-oksetunge,Anchusa officinalis,"Humlebier, Enlige bier, Dagsommerfugle, Svirrefluer",,,,,,
Løgkarse,Alliaria petiolata,"Humlebier, Enlige bier, Dagsommerfugle",,,,,,
Mark-forglemmigej,Myosotis arvensis,"Humlebier, Enlige bier, Fugle",,,,,,
Mark-krageklo,Ononis spinosa,"Humlebier, Enlige bier",,,,,,
Mark-stenkløver,Melilotus officinalis,"Humlebier, Enlige bier, Dagsommerfugle",,,,,,
Merian,Origanum vulgare,"Humlebier, Enlige bier, Dagsommerfugle, Svirrefluer",,,,,,
Miliegræs,Milium effusum,"Dagsommerfugle, Andre arter",,,,,,
Mirabel,Prunus cerasifera,"Humlebier, Enlige bier, Dagsommerfugle, Svirrefluer, Fugle, Andre arter",,,,,,
Moskus-katost,Malva moschata,"Humlebier, Enlige bier, Dagsommerfugle, Svirrefluer, Andre arter",,,,,,
Muse-vikke,Vicia cracca,"Humlebier, Enlige bier, Dagsommerfugle",,,,,,
Mælkebøtte,Taraxacum agg.,"Humlebier, Enlige bier, Dagsommerfugle, Svirrefluer, Andre arter",,,,,,
Nælde-klokke,Campanula trachelium,"Humlebier, Enlige bier",,,,,,
Prikbladet perikon,Hypericum perforatum,"Humlebier, Enlige bier",,,,,,
Rejnfan,Tanacetum vulgare,"Humlebier, Enlige bier, Dagsommerfugle, Svirrefluer, Andre arter",,,,,,
Rød tvetand,Lamium purpureum,"Humlebier, Enlige bier, Dagsommerfugle, Svirrefluer",,,,,,
Rød-el,Alnus glutinosa,"Dagsommerfugle, Fugle, Andre arter",,,,,,
Rød-kløver,Trifolium pratense,"Humlebier, Enlige bier, Dagsommerfugle",,,,,,
Selje-pil,Salix caprea,"Humlebier, Enlige bier, Dagsommerfugle, Svirrefluer, Fugle, Andre arter",,,,,,
Skov-elm,Ulmus glabra,"Dagsommerfugle, Andre arter",,,,,,
Skov-fladbælg,Lathyrus sylvestris,"Humlebier, Enlige bier",,,,,,
Skov-jordbær,Fragaria vesca,"Humlebier, Enlige bier, Dagsommerfugle, Svirrefluer",,,,,,
Skov-æble,Malus sylvestris,"Humlebier, Enlige bier, Dagsommerfugle, Svirrefluer, Fugle, Andre arter",,,,,,
Slåen,Prunus spinosa,"Humlebier, Enlige bier, Dagsommerfugle, Svirrefluer, Fugle, Andre arter",,,,,,
Smalbladet høgeurt,Hieracium umbellatum,"Humlebier, Enlige bier, Dagsommerfugle, Svirrefluer",,,,,,
Smalbladet klokke,Campanula persicifolia,"Humlebier, Enlige bier",,,,,,
Småbladet lind,Tilia cordata,"Humlebier, Enlige bier, Dagsommerfugle, Svirrefluer, Andre arter",,,,,,
Stilk-eg,Quercus robur,"Dagsommerfugle, Fugle, Andre arter",,,,,,
Stor fladstjerne,Stellaria holostea,"Humlebier, Enlige bier, Dagsommerfugle, Andre arter",,,,,,
Stor knopurt,Centaurea scabiosa,"Humlebier, Enlige bier, Dagsommerfugle, Svirrefluer, Fugle, Andre arter",,,,,,
Storblomstret kodriver,Primula vulgaris,"Humlebier, Enlige bier",,,,,,
Strandasters,Tripolium vulgare,,,,,,,
Sump-kællingetand,Lotus pedunculatus,"Humlebier, Enlige bier, Dagsommerfugle",,,,,,
Tag-høgeskæg,Crepis tectorum,"Humlebier, Enlige bier",,,,,,
Tveskægget ærenpris,Veronica chamaedrys,"Humlebier, Enlige bier, Dagsommerfugle, Svirrefluer",,,,,,
Tætblomstret hindebæger,Limonium vulgare,,,,,,,
Vand-mynte,Mentha aquatica,"Humlebier, Enlige bier, Dagsommerfugle, Svirrefluer",,,,,,
Vild gulerod,Daucus carota,"Humlebier, Enlige bier, Dagsommerfugle, Svirrefluer, Andre arter",,,,,,
Vild kørvel,Anthriscus sylvestris,"Humlebier, Enlige bier, Svirrefluer, Andre arter",,,,,,
Vinter-eg,Quercus petraea,"Dagsommerfugle, Fugle, Andre arter",,,,,,
Vorte-birk,Betula pendula,"Dagsommerfugle, Fugle, Andre arter",,,,,,
